subject,property,object,question
Q24204,P106,Q19204627,What profession did Josh Gordon have?
Q458245,P20,Q2887,ignacy domeyko  passed away where
Q680173,P27,Q39,what nationality is  giles tschudi
Q943877,P196,Q2179,Where is 8783 gopasyuk located in space?
Q90,R19,Q70326,Who was born in Paris?
Q7229186,P364,Q1860,What language was the film pope john paul ii shot in?
Q35064,P27,Q145,What is agatha christie's nationality
Q2166261,P176,Q82610,which company built the uss los angeles (ssn-688)?
Q1150828,P27,Q155,which country is cícero santos from
Q639395,P1142,Q121254,what ideology do the union of citizens of georgia practice
Q36393,P50,Q5816,who is the author of quotations from chairman mao tse-tung
Q193592,R413,Q2352102,Name a midfielder
Q3784959,P119,Q216344,where in the us is henry johnson buried in?
Q193592,R413,Q314389,who played midfielder
Q2756439,P21,Q6581072,what gender is fictional character kissy suzuki
Q2538638,P106,Q2405480,What is bernard erhard's job?
Q33977,P19,Q12191,Where was jules verne born
Q1208,P17,Q183,What is brandenburg a first level division of
Q3282637,R106,Q24829,Name a film producer.
Q4719500,P106,Q169470,what is alexander macfarlane's profession?
Q1765286,P136,Q188473,Is operation thunderbolt an action movie or documentary
Q4777969,P413,Q336286,what position does anvar gafurov play
Q165394,P364,Q1860,What language is featured in the film bowling for columbine
Q1332636,P31,Q3863,8266 bertelli is what type of celestial object?
Q1626868,P136,Q842256,What netflix genre is honeydripper
Q33999,R106,Q3946526,who is a professional actor that was born in New York
Q604449,P364,Q1860,What language is spoken in identity 
Q744138,P17,Q783,what country is the lempira department located in
Q287615,P175,Q11998,Who is the artist on the album kylie fever 2002 live in manchester
Q6437812,P19,Q28848,Where was kristin vigard born
Q790207,P495,Q30,Where was avanti! filmed?
Q102155,P19,Q1295,where was kristin meyer born
Q193592,R413,Q963266,Name a football midfielder
Q3416101,P27,Q16,which nationality does rachel hayward belong to
Q1016,R17,Q48239,What is the administrative division of the country libya?
Q343568,R136,Q2256398,what are action-adventure games for the computer
Q3305154,R58,Q2603032,Which episodes did richard appel write?
Q36970,R162,Q770074,what film is produced by jackie chan?
Q2735130,P413,Q280658,"if mihails miholaps played in the top third, which position did he play"
Q7154348,P21,Q6581097,What is the sex of paul whitsun-jones?
Q616780,P364,Q1860,what is the language of the film stage fright (1987 film)
Q257968,P19,Q126084,what israeli city is joan of acre from
Q1376165,R138,Q488868,What county was named for john m. berrien?
Q795522,P607,Q8676,What war did john w. geary participate in
Q556819,P31,Q3863,what type of object is 6304 josephus flavius?
Q266881,P27,Q30,which country is beatrice rosen from
Q2614262,P19,Q25330,what city was vernee watson-johnson born in
Q172286,P21,Q6581097,what is cecil green's gender?
Q110879,P21,Q6581097,what gender is gus grissom
Q908841,P21,Q6581097,is brian griffin male or female
Q5606941,P106,Q3282637,what does gregory goodman do for a living?
Q201873,P86,Q254,who was the composer of the marriage of figaro
Q203889,R19,Q967157,what man was born in luton
Q1557763,P20,Q34217,Where was alister hardy deceased?
Q7292110,P106,Q10871364,what is the profession of randy brown
Q11790415,P106,Q193391,What's nebojša koharović's profession?
Q501003,P138,Q48314,which battle was the waterloo bridge named after
Q4227,P119,Q1358639,where is james coburn buried
Q336253,P19,Q1335,where was luis alberto lacalle born
Q709823,P65,Q930096,where was the discovery of (9528) 1981 eh24 made at?
Q646639,P19,Q23482,Where was marc batta's place of birth?
Q6607,R1303,Q505285,What is the name of someone who is very good at the guitar
Q1025916,P86,Q19848,who composed the song paparazzi (lady gaga song)
Q137042,P19,Q29364,where was nat king cole from
Q1468980,P58,Q464193,who wrote the film eclipse?
Q4430,P57,Q51583,who directed cleopatra?
Q6522877,P21,Q6581097,What is lennox robinson 's gender?
Q179374,P21,Q6581097,What is the gender of robert owen
Q236122,R149,Q600355,what is an example of renaissance architecture
Q236047,P19,Q465710,Where was hadise born
Q158163,P31,Q3863,what category does the celestial object 943 begonia belong to
Q1354933,P136,Q8341,what style of music does mark nauseef play 
Q84,R19,Q519535,What historian was born in london?
Q860626,R136,Q682262,what is the name of a 1990 romantic comedy
Q15070044,P53,Q643049,what family is malia ann obama a part of 
Q2910011,P136,Q23916,what kind of video game is bone: the great cow race
Q7385525,P264,Q1365614,what label signed ryujin kiyoshi
Q4045545,P136,Q37073,What genre of music is nue?
Q49145,R19,Q7152919,What Canadian actor was born in new haven
Q318766,P58,Q771104,who was the writer for the film the terminal
Q273126,P21,Q6581072,is anna dorothea therbusch a male or female
Q76645,P19,Q1794,What is the birth place of jo weil
Q313131,P413,Q336286,What position does mauricio pellegrino play?
Q985260,R19,Q549942,who was born in chowchilla
Q525035,P20,Q16556,Where did lois irene marshall pass away?
Q153815,P53,Q81589,"what family house does princess margaret, countess of snowdon belong to"
Q16155099,P495,Q30,which country was the movie batman: assault on arkham produced
Q323793,P413,Q193592,which position did andriy bohdanov play
Q383700,P136,Q846224,What type of computer videogame is marvel vs. capcom 2: new age of heroes?
Q991620,R58,Q19089,what films have bruce feirstein written?
Q4039001,P162,Q217298,Who helped produce the film strangers with candy?
Q846320,P17,Q953,north-western province is in what country?
Q703603,R264,Q201207,What is the name of an artist that is signed to noise records
Q1631150,P162,Q52997,advise & consent is a film produced by whom?
Q710723,P31,Q3863,what kind of object is (5834) 1992 sz14
Q1997051,P57,Q522057,who directed a fistful of fingers 
Q37097,P20,Q16869,where in turkey did manuel ii palaiologos' place of death?
Q1751029,P21,Q6581097,what is ali g's gender?
Q12204,R509,Q1842040,What male politician died from tuberculosis?
Q441502,P21,Q6581097,is philippe jaroussky male or female
Q1860320,P19,Q648,In which northern french city was matthias de lobel born?
Q70620,P21,Q6581097,What is the gender of markus bott
Q3378789,P19,Q462799,Where was phil harvey birthed
Q390949,P19,Q179406,where in england was angela c. smith born?
Q976803,P21,Q6581072,What gender is mónika lamperth?
Q4139384,P136,Q472055,what genre is the computer videogame i of the dragon
Q14071714,R57,Q1346729,which 2007 comedy film did robert pulcini directed?
Q49085,R172,Q754457,Name an african american person
Q939325,P495,Q145,what country is ella enchanted from
Q3349039,P27,Q142,What country is oceane from?
Q1654891,P364,Q1860,what language is waking up in reno in?
Q2471197,P138,Q312288,who is the hale telescope named after?
Q1800173,P404,Q6895044,what gameplay mode does secret of mana have
Q282027,P138,Q114866,who is dizengoff street named after
Q150343,P31,Q3863,in what category is 2912 lapalma
Q346285,R86,Q212145,What is the name of a film that david arnold contributed music toward
Q5981912,P21,Q6581097,what is ian johnson's gender?
Q23111,R19,Q662063,who was a person that was born in suffolk
Q51123,P21,Q6581097,What is d. w. griffith's gender?
Q5083036,P27,Q16,What is charles trudeau's nationality
Q3391599,P57,Q314223,who directed the movie planet ocean
Q1364691,P57,Q106685,Who directed without anesthesia?
Q109981,P17,Q30,What is the second level division of douglas county?
Q11309444,P21,Q6581097,what is james mitchell (manager)'s gender?
Q674280,P509,Q12152,what was the cause of death of pierre delanoë
Q92614,P737,Q333402,Who was douglas engelbart influenced by?
Q402938,P138,Q272774,Who was hancock county named after
Q2363504,P50,Q315069,who was the author of the startide rising novel
Q5003533,P19,Q12439,what city was buzz kilman given birth in
Q1262731,P19,Q90,"where was louis philippe, comte de ségur born"
Q1736789,P19,Q336431,where was katsuhito asano born
Q14948979,R40,Q333468,who was isabel maxwell's dad
Q285549,P140,Q1841,what religion does bianca jagger practice
Q51564,P40,Q3302192,who is john landis's song's name 
Q706518,P136,Q83440,what type of country is b. j. thomas from 
Q7600963,P178,Q238132,Who is the developer of the videogame star trek: conquest?
Q2335241,P162,Q441578,What female producer is responsible for the decline of western civilization?
Q518868,R57,Q998219,what film did dennis dugan direct
Q880388,R264,Q859371,Who is an artist that was signed to black mark productions
Q1615684,P112,Q6524689,who is the founder of the hess corporation?
Q500972,R115,Q11938,What team plays in philips stadion?
Q809332,P20,Q40921,Where did bartholomew ulufaalu die?
Q450690,P21,Q6581072,what gender is luisa valenzuela?
Q670858,R86,Q1144505,to what film did scott bradley contribute music
Q5107036,P21,Q6581097,what gender is chris jones 
Q2059382,P21,Q6581097,what is paul edwin roth's gender 
Q266396,P413,Q193592,which football position does josé joão pereira play
Q49085,R172,Q1618677,who is a person of african american ethnicity 
Q512902,P21,Q6581097,"if william bates is a man, what's his sex"
Q817356,P19,Q220,what is benito stefanelli's place of birth in europe?
Q272433,P21,Q6581072,what gender is krystyna janda
Q1779139,P1040,Q967544,what actor did adapt the super troopers film
Q3159945,P19,Q16869,where was jacques rémy born
Q2719307,P123,Q188273,who was the publisher of silent hunter 4: wolves of the pacific
Q4965430,P19,Q128114,what city in Westchester County is brian sweeney from
Q1333178,P21,Q6581097,What is neil sloane's gender?
Q1660478,P136,Q130232,what type of movie is main street
Q510641,P495,Q30,which country released battle of neretva
Q530801,P21,Q6581097,what is shalva maglakelidze's gender?
Q8418,R641,Q741538,what is the name of handball team
Q463846,P21,Q6581097,how does pierre charron identify 
Q4237536,P413,Q201330,what position does sergey kramarenko play in football
Q206327,P106,Q39631,What profession was Bernard Kouchner in?
Q2415,R19,Q330831,Name a norwegian football defender born in kristiansand
Q1027212,P495,Q30,where was revolution released 
Q84711,P20,Q1741,Where did alfred uhl die
Q740848,P19,Q656,which russian city was nestor kukolnik born in
Q4610556,R106,Q212772,who is a singer and a model (person)
Q135645,P20,Q64,What city did walther rathenau die in?
Q516898,P19,Q8678,where in brazil was andré bahia born?
Q208850,R404,Q736865,Name a game that has single-player mode
Q853630,R136,Q323392,what is the title of a  slasher movie
Q2347009,P106,Q578109,what is steve harvey's profession
Q270178,R58,Q895856,which movie was written by david koepp
Q719058,P20,Q189074,where in new york city was billybangartist's place of death?
Q2460274,P58,Q434342,who wrote any number can play
Q16013486,P413,Q1048902,what position does ray moore play
Q6254188,P21,Q6581097,what sex is john rand?
Q937460,P57,Q44414,who is the director of the canada on strike episode
Q1138070,P84,Q1172126,who was the architect of coventry cathedral
Q838527,P58,Q44414,Who wrote the episode red hot catholic love?
Q262317,P264,Q16985955,which label does tinariwen release music under
Q2622313,P57,Q561459,who directed the movie volga-volga
Q1319546,R40,Q379538,who is the father of richie steamboat
Q5648323,P413,Q1048902,Former baseball player hank fischer played which position?
Q434290,P19,Q727,which netherlands city was andries bicker born in?
Q63895,P20,Q60,where in new york did paul oskar kristeller die?
Q15998385,P21,Q6581097,what is carl hansen's gender
Q832462,P136,Q57143,what kind of music is better than raw 
Q12881086,P20,Q1524,what city in greece did  michalis oikonomou die
Q3806192,P413,Q336286,what position does jaime villegas play 
Q6895044,R404,Q935970,what is a turn-based rpg that features multiplayer
Q2704502,P162,Q55432,Who produced the film ex machina
Q36687,P150,Q473183,What is a local government area in victoria (australia)?
Q11366,R136,Q2059615,whats the title of a  alternative rock album
Q35581,R19,Q11248409,Name a person born in hokkaido.
Q3736971,P272,Q141336,"which company produced mary poppins, goodbye?"
Q517,R112,Q3551587,which university had napoleon as a founder
Q228122,P105,Q7432,what is the rank of the organism classification sium sisarum?
Q842032,P27,Q17,What is shiho kawaragi's nationality
Q615874,P27,Q145,what is roddy maude-roxby's country of nationality?
Q3101663,P136,Q131272,which genre does george jackson perform
Q242620,P136,Q11401,what type of music does foxy brown (rapper) perform
Q11529897,P19,Q34600,Where was Takeshi Matsuyama born?
Q978770,P344,Q1312577,Who did the cinematography of the stranger
Q273199,R413,Q918347,Name a athlete who plays shooting guard in basketball.
Q193592,R413,Q2066895,Who is a Ukrainian football midfielder?
Q6010467,P495,Q16,The film in praise of older women was based in which country?
Q688332,P20,Q1741,what city did leon biliński ie in
Q444253,P21,Q6581097,is benjamin watson a man or a woman
Q778789,R344,Q667733,what movie was bert glennon a cinematographer on
Q886784,P27,Q30,what is david hall's nationality 
Q61352,R131,Q79222,"what city is conway county, arkansas in"
Q16927807,P19,Q60,what city was michael shure born in
Q1130193,P123,Q339228,who is the publisher for the game south park: chef's luv shack
Q704353,P364,Q5287,What language is spoken in the tv show sailor moon
Q943995,R106,Q953440,Name a person with the profession of impresario.
Q237090,P20,Q90,Where did madame de la fayette die?
Q374302,P105,Q7432,what's the taxonomic rank of the house finch
Q1284215,P21,Q6581097,What is the sex of edgar wilson
Q6429913,P27,Q159,what is konstantin dzutsev's nationality?
Q2695156,P170,Q464282,who created batman
Q966721,P136,Q54767,what type of game is pingus?
Q3597084,P31,Q3863,how is the 11425 wearydunlop categorized
Q862524,P404,Q6895044,Which gameplay mode is used for harry potter and the half-blood prince?
Q701319,P20,Q1891,Where did ferdinando galli-bibiena pass away
Q112048,P19,Q3159,what is sergei puskepalis's place of birth
Q1129452,P136,Q343568,What is the video game genre of god of war iii
Q467631,P136,Q860626,"What genre is the film ""Americas Sweethearts""?"
Q938858,P272,Q5448886,what is the production company for the film on the road
Q1168586,P136,Q130232,what kind of film is the tomb of ligeia 
Q468700,P136,Q1054574,what kind of film is the fly
Q280154,P495,Q30,what is the tv program all that's country of origin
Q184386,P136,Q719927,yes (band)  is a performer of what musical genre
Q459290,R136,Q109135,What independent movies can be found on netflix?
Q823107,P131,Q502414,"what county is bernardsville, new jersey in"
Q3746620,R264,Q266496,Name an artist on the label flip records
Q1633373,P21,Q6581097,what is the sex of hubert renfro knickerbocker?
Q740939,P20,Q2050326,What is the place of death of lane smith?
Q583848,P397,Q525,what does 3665 fitzgerald rotate around 
Q5621124,P607,Q362,which world conflict did gustav gihr participate in?
Q1338008,P136,Q130232,what genre of film is emma?
Q2061259,P495,Q30,what country did slc punk! originate from
Q153344,R40,Q81794,who is meritaten's parents 
Q964634,P136,Q2297927,What sort of movie is the wrecking crew
Q921597,P196,Q2179,what belt does  2295 matusovskij belong to
Q6096544,P413,Q336286,ivan jević is a Serbian footballer playing in which position?
Q1153562,P136,Q206159,what subset of rock does erik brann play
Q645003,P178,Q14428,who developed phoenix wright: ace attorney: justice for all 
Q628099,R106,Q509165,Who is a notable manager
Q698278,P20,Q1524,where did napoleon zervas die
Q333834,P27,Q145,which country is jim griffiths from
Q2527253,P136,Q1650296,what types of music is the maze
Q443597,P413,Q193592,which football position does tiko as?
Q706723,P19,Q215755,where was james soong born 
Q1735,R19,Q86682,Who was born in innsbruck?
Q439245,P27,Q30,Which nationality is allen newell
Q262303,P196,Q2179,Which type of asteroid group is 13268 trevorcorbin present in
Q428223,R175,Q608495,What's an album recorded by robert plant
Q842256,R136,Q7810384,What is a film in the musical film genre
Q147787,R144,Q9155283,What was anna karenina adapted into?
Q1340067,P196,Q2179,8397 chiakitanaka is a part of what asteroid group?
Q846790,P136,Q208494,what musical genre is the album  the golden age of grotesque
Q3658902,P170,Q2635391,Who created the fictional character carlie cooper
Q336075,R170,Q289592,Name a tv program created by eric kripke
Q946215,R58,Q187726,which pixar film did jonathan roberts write
Q3290120,P19,Q220,which city was marco marinangeli born in
Q936866,R58,Q605453,which film was written by joe carnahan 
Q131074,P162,Q808917,who produced the lord of the rings: the return of the king
Q700726,P495,Q142,in which country was the night of the generals filmed
Q503264,P264,Q1392321,What label signed the artist gregg allman
Q537565,P19,Q64,what city was kurt stöpel born in
Q573770,P162,Q95039,who produced stay hungry
Q405482,P20,Q90,Which city did aimar-charles-marie de nicolaï die in?
Q823637,P27,Q183,which country is bernd hollerbach from
Q950865,P57,Q262735,who directed doctor dolittle
Q7332041,P27,Q30,what country is rickybellakaslick from
Q610738,P19,Q495,what italian city was the place of birth of prince maurice of savoy
Q1139077,P136,Q58339,What genre is undercover?
Q67043,P27,Q183,"What country was leopold i, prince of lippe from?"
Q5621170,P20,Q1435,what city did gustav lechner die in
Q3793410,P136,Q185867,what genre is appointment with danger?
Q16193823,P19,Q49244,where in california was jeff robinson born
Q1750090,P17,Q155,what is the second level division of envira?
Q16121961,P27,Q30,what is ben moses's nationality?
Q462447,P1040,Q1715774,who was lethal weapon edited by
Q7310145,P20,Q65,Where did reiko sato die?
Q458445,R58,Q4385602,what film did pete dexter assist in the writing of
Q742328,P175,Q189080,who is the artist that created animal serenade
Q705472,P21,Q6581097,what is jim gilmore's gender
Q239228,P31,Q3863,What kind of celestial object is 4625 shchedrin?
Q1133113,P175,Q1339778,who is an artist that released an album called the wayward sons of mother earth
Q584500,P509,Q12192,what was the cause of ludovic kennedy's death
Q600705,P413,Q193592,What position does yevgeni kharlachyov play
Q817,R17,Q1072757,whats an administrative division of  kuwait
Q64,R19,Q67553,who was born in berlin?
Q241712,P21,Q6581072,What's pang qing's gender?
Q318885,R40,Q16012129,Who is mako (actor)'s mother
Q1926647,P19,Q107351,Where was ole olsen born?
Q136442,P31,Q3863,what is  1145 robelmonte category
Q2627790,P196,Q2179,where is 10812 grötlingbo located 
Q986196,P131,Q494541,"which county locates orange city, florida"
Q483203,R175,Q727946,what's one of sting's albums?
Q57527,P19,Q1718,where was eleonor magdalene of neuburg born
Q872246,P20,Q128499,which city did anna dostoyevskaya die
Q171565,P20,Q90,Where in france did yves giraud-cabantous die
Q3293921,P21,Q6581097,what gender could marjan mozetich be
Q82544,P171,Q385932,what is the redback spider classified as?
Q1348016,P58,Q1339491,Who authored punishment park
Q756704,P136,Q11366,what type of music does cake make
Q336286,R413,Q2439009,who plays as a defender in football
Q371403,P27,Q30,what north american country was  kyle gass born into
Q829,P17,Q30,what country is utah in
Q501,P737,Q7198,Who influenced charles baudelaire
Q454493,P27,Q1037,What nation is hamad ndikumana from?
Q891732,R272,Q2456779,what film is by the company orion pictures?
Q8341,R136,Q1283105,what's the name of a famous jazz artist from france
Q2288328,P272,Q186941,What production company produced the matinee idol?
Q11399486,P413,Q1142885,What baseball position did shohei kato play
Q6301167,P19,Q52535,where was juan yustrich born
Q1046716,P31,Q3863,What kind of celestial object is 3786 yamada?
Q1870830,P27,Q40,which nationality is lothar geitler
Q1151372,R40,Q7738,who are the parents of princess sophie-philippine of france?
Q3387717,R106,Q445273,Name a theatre director
Q433929,P21,Q6581072,what is the gender of tammy lauren
Q8341,R136,Q979166,who's an example of an jazz artist
Q375550,P21,Q6581097,which gender does henrik sedin identify as
Q936037,P495,Q145,which country released victor victoria
Q1066134,P136,Q343568,what kind of game is prince of persia 3d 
Q1794394,P17,Q408,What country is lake alexandrina (south australia) located in?
Q756238,P272,Q885885,What production company produced the flm robots
Q1243742,P403,Q643,What is the mouth of the panaro river?
Q5987215,P21,Q6581072,What is ida waterman's gender
Q140864,P65,Q191684,What was the discovery site of 15663 periphas?
Q25011,P19,Q38453,which state was charles bolden born
Q155,R17,Q2011901,what city is municipality located in brazil
Q261909,P106,Q81096,what does meton of athens do for a living
Q3966013,P344,Q287778,Who is the cinematographer that worked on the film sparkle
Q950141,P20,Q84,what was the place of death for john ogdon
Q611388,P17,Q419,which country is huallaga river in
Q4214157,P27,Q399,Where is ruben karapetyan from
Q7970614,P175,Q375792,Which artist released the self-titled album warren zevon?
Q242079,P136,Q200092,what film genre is 5150 elms way
Q381777,P136,Q11366,What kind of music does andrew wood perform?
Q4770490,R40,Q272864,Who is margaret stewart's dad
Q701896,P57,Q176126,who directed the film twisted
Q3323969,R272,Q772974,which movie did morgan creek productions produce 
Q7315661,P138,Q49284,What is resnik named after
Q55,R17,Q835096,what municipalities are in the netherlands
Q6454394,P364,Q1860,What language is utilized for the film smashed
Q5597693,P21,Q6581097,What is the sex of ulf björlin
Q1886978,R1040,Q646269,who was the editor for malcolm campbell 
Q545507,P27,Q30,what country is camille winbush from
Q12152,R509,Q713071,what person died from a myocardial infarction?
Q6386282,P106,Q4610556,what profession does kelly salmon have
Q465776,P170,Q720893,Who created fear itself
Q5534796,P19,Q60,where was geoffrey obrien born
Q7216,P495,Q30,Where was pirates ii: stagnettis revenge filmed at?
Q702762,P413,Q336286,"as a defensive player, which position does christian eichner play"
Q2436141,R57,Q265592,what is a film written by david winters
Q26600,R19,Q3315679,Name a person born in fukuoka
Q2588758,P178,Q991149,who developed the computer game sword of mana
Q5932555,P21,Q6581097,what sex is hugh rossi
Q3118802,P27,Q30,what is the nationality of  robert sapolsky
Q1066098,P344,Q4175343,Who was the cinematographer for jackass 3d?
Q2342101,P136,Q131272,What genre of music is the jazz soul of little stevie?
Q5213677,P21,Q6581097,is dan hicks male or female?
Q5890742,P27,Q668,what nationality is homi adajania
Q16217465,P27,Q16,Where was Max McCabe-Lokos born?
Q2469151,P21,Q6581097,what is herman of alaska's gender?
Q1639734,P171,Q310438,What is the higher classification of tepary bean?
Q4978345,P19,Q49156,where was bruce tarr born in
Q2525295,P1303,Q46185,What instrument does bruce thomas play?
Q3288289,P106,Q183945,What is d-nice's profession?
Q2257790,P50,Q366150,Who wrote soul of the fire?
Q189290,R106,Q315597,Who is an officer of the armed forces?
Q206159,R136,Q2142320,what musician uses psychedelic rock
Q364781,P20,Q49267,Where was lee hazlewood when he died
Q1022488,P17,Q145,Where is brighton and hove located?
Q86210,P27,Q183,Which country is andreas wisniewski from?
Q2266283,P495,Q30,what country is the angel wore red filmed in?
Q2280952,P136,Q1050023,What is the genre of the computer videogame mafia wars
Q41315,P58,Q1774177,who wrote under the tuscan sun?
Q6129688,P509,Q233309,what did james william benson die from?
Q1214555,P57,Q737693,who directed the lovers on the bridge?
Q78486,P19,Q156080,where was johann palisa born?
Q302313,R19,Q1981938,Who is a famous person born in emporium
Q34740,R105,Q136626,whats an example of a genus
Q1357271,R40,Q102140,geoffrey was the son of who?
Q1048902,R413,Q5531369,Who is a baseball player that plays pitcher?
Q460151,P509,Q12152,what deadly disease killed fred m. vinson
Q6223118,P19,Q2572461,"what is the name of the city where  john brewster, jr. was born"
Q1332469,P495,Q30,Which nation filmed spread
Q188648,P264,Q387539,what is the label that raven-symoné is under
Q208850,R404,Q2323970,what is an example of a single-player video game
Q1194440,P364,Q7737,what is a language featured on the hound of the baskervilles 
Q130232,R136,Q818710,What's a drama film
Q3087848,P162,Q1707966,Who produced the love nest?
Q162335,P21,Q6581072,what is red sonja's gender
Q217324,R57,Q749988,which movie was directed by jean-pierre jeunet
Q130232,R136,Q828547,What is the name of a drama involving September 11? 
Q4543172,P31,Q3863,Which category of celestial object is (35317) 1997 aq23
Q1197735,P50,Q16867,who wrote the fall of the house of usher
Q545394,R1431,Q106182,Avi arad was the executive producer on what film?
Q3633946,P21,Q6581097,what gender group does nagesh kukunoor belong to
Q1620831,P86,Q487355,the film battleground featured music by what artist?
Q2324566,P20,Q1726,in what european city di geoff bent die
Q2058810,P19,Q2887,What is the birth place of gerson acevedo?
Q5186176,P413,Q336286,what position in soccer does cristian dancia play 
Q1726,R19,Q74209,who was born in munich
Q465179,P509,Q12152,how did marion zimmer bradley die 
Q4255257,P27,Q15180,What is liubomiras lauciavicius's nationality
Q324431,P136,Q8341,what type of music is adam taubitz known for?
Q15069959,P21,Q6581072,What was the gender of micheline bona?
Q36180,R106,Q319423,what person is a writer?
Q195535,P27,Q142,what nationality is jean-marc leclercq
Q12078,R509,Q3707022,Who died of cancer?
Q219714,P115,Q1052370,what is the philadelphia eagles's home stadium called
Q3044,P21,Q6581097,what gender is charlemagne
Q718581,P21,Q6581097,What is daron acemoglu's gender?
Q58586,P20,Q2833,Where did edmund husserl die?
Q3942012,P21,Q6581097,is roy kayara male or female
Q139740,P31,Q3863,What kind of celestial object is 1480 aunus?
Q174,R19,Q4685512,Name someone who was born in sao paulo
Q1476000,P364,Q1860,what language is i love you to death?
Q878398,P20,Q498066,what county did isaac shelby die in
Q722064,P364,Q1860,whats the language of the film  live freaky! die freaky!
Q316930,R136,Q1082860,Name a dance music album that consists of remix compilation.
Q778205,P144,Q7548175,What did snow angels (film) adapt from?
Q982109,P172,Q173491,what is m. s. swaminathan's ethnicity
Q5468,R19,Q173435,Who was born in durban
Q4101775,P495,Q30,What country was searching for debra winger filmed in
Q275553,P272,Q511731,What company produced the film changeling?
Q21,R19,Q4933272,which actor was born in england?
Q1190057,P20,Q131600,where did denys de la patellière die
Q172214,P19,Q68136,Which city and country was toni branca born in
Q2600504,P19,Q3108251,where was hugh maclennan born
Q6010787,P27,Q29,What is the nationality of mercedes alonso
Q3857462,P413,Q526960,what position does mike tolbert play
Q269669,P19,Q49143,where was illeana douglas born?
Q841781,P58,Q1278407,Who wrote the script for gaslight
Q233412,P27,Q30,what country gives anna maria perez de taglé her nationality
Q4280562,P21,Q6581097,what is alexander manockov's gender?
Q3098571,P19,Q1774629,Where was gary holt born?
Q245187,P86,Q364881,who provided the music for the film 12 rounds (film)?
Q77044,P27,Q183,What nationality is chris kaman
Q4543607,P31,Q3863,what category does (44439) 1998 ur8 fall in?
Q780197,P58,Q1699413,Who wrote the film christopher columbus: the discovery
Q55207,R162,Q12008230,which films has nikita mikhalkov produced
Q28740,P413,Q280658,What position does footballer ian porterfield play?
Q444369,P21,Q6581072,what is the sex of katie jarvis
Q1002251,P136,Q200092,what genre is the film bug (2006 film)
Q766612,P404,Q6895044,what is the gameplayer mode for europa universalis: rome?
Q847940,P57,Q41351,who was the director for the beaver?
Q1945993,P136,Q11399,The music album before i forget is of what genre?
Q6488593,P19,Q739452,where was lara spencer born 
Q336286,R413,Q1537154,Name a defensive player in soccer?
Q33999,R106,Q446188,Name an actor.
Q117238,P21,Q6581072,what was charlotte schwab's gender?
Q1500287,P57,Q450720,who directed the film killing zoe
Q59736,P119,Q288130,where is ignaz semmelweis buried
Q2566305,P57,Q2721648,"jenin, jenin is a film that was directed by whom?"
Q7432,R105,Q2492416,Name a species of fish
Q695608,R162,Q156309,What is a film produced by arnold kopelson
Q2487202,P21,Q6581097,what is the sex of the character joe chill?
Q1584933,P403,Q1441345,What is the mouth of the roanoke river
Q3132212,P21,Q6581097,What is oliver jackson-cohen's gender?
Q5363352,P19,Q30,Where was elizabeth pisani born?
Q1128520,P495,Q30,What country filmed the black orchid
Q174992,P495,Q30,was 12:01 released in the us or somewhere else
Q1740645,P364,Q1860,What language is spoken in the film joe versus the volcano
Q5112,R19,Q240668,Name a swimmer born in adelaide
Q707783,P21,Q6581097,What gender is yoshinori kobayashi?
Q898237,P27,Q155,what is the nationality of sissi?
Q126399,R272,Q192979,what film is by the warner bros.?
Q2701528,P31,Q523,What type of celestial body is tau centauri
Q7746216,P136,Q130232,what is the netflix genre of the last of his tribe?
Q163742,P413,Q193592,which position did alberto fouilloux play 
Q7240196,P27,Q668,what country gives nationality to prema narayan
Q2792014,P19,Q427792,where was jamie robinson born?
Q1210807,P136,Q2143665,what type of film is the journey of natty gann
Q5397539,P170,Q51057,who created matthew cable
Q1700812,P19,Q664,Which country was john leigh born in
Q675353,P86,Q2599,who composed run for your life
Q293149,P136,Q83440,What sort of music does holly williams play
Q1741746,P495,Q778,"What country was the ""Children of God"" filmed in?"
Q83440,R136,Q1953589,What is a country music album
Q217246,P364,Q1860,which language is the suite life of zack and cody in
Q3665646,R106,Q2640578,What basketball player played for the pacers
Q598238,R1040,Q577221,Name a film that brad anderson worked on as an editor
Q356782,P19,Q11751,where was koji kondo born 
Q1300810,P123,Q149947,which company published mortal kombat: special forces?
Q535360,P40,Q4100648,who were the children of george herbert walker?
Q193023,R264,Q45752,which artist is signed to capitol records
Q1207463,P136,Q2143665,What is the genre of the film hoot (film)
Q4888080,P21,Q6581097,what is jaime camino's sex?
Q438459,P19,Q60,what city is bill drayton from
Q692550,R1040,Q223299,What is the name of a film that michael kahn edited
Q9037987,P21,Q6581097,what is daisaku shinohara's gender?
Q180704,P170,Q311607,who created iron man
Q869993,P58,Q255921,who wrote the story for a goofy movie
Q212772,R175,Q1176181,What is an album by cheryl cole?
Q14475684,R40,Q464900,who is sandeep dikshit's mother
Q3290309,P172,Q402913,what is the ethnicity of konnie huq?
Q2032450,P413,Q336286,what position does mykhaylo starostyak play?
Q727634,R136,Q56074,which artist is considered a ranchera artist
Q557632,R264,Q1932170,Which English band is on the record label decca records?
Q7146481,P27,Q30,what is patrick farrelly's nationality?
Q1261526,P27,Q403,what is ksenija pajčin's country of origin?
Q408,R19,Q6832365,Who was born in australia
Q2333358,R264,Q1393568,which american gothic group is signed to metropolis records
