uid,question,subject,props,query,tag,answers
450,In What work by F. Kafka is the main character named Gregor Samza?,Q3566632,wdt:P1441,"SELECT ?answer 
WHERE {
  wd:Q3566632 wdt:P1441 ?answer
}",1-hop,Q184222
451,What are the Hawaiian Islands?,Q782,wdt:P31,"SELECT ?answer 
WHERE {
  wd:Q782 wdt:P31 ?answer
}",1-hop,Q35657
452,"Who in 2002 coached Alexey Yagudin, who won Olympic gold in figure skating competitions?",Q316861,wdt:P286,"SELECT ?answer 
WHERE {
  wd:Q316861 wdt:P286 ?answer
}",1-hop,"Q267861, Q1323788"
453,What city near Moscow has the marinkina tower?,Q4281506,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q4281506 wdt:P276 ?answer
}",1-hop,Q133026
454,Who is the lead singer of the DDT group Yuriy Shevchuk by education?,Q51094,wdt:P106,"SELECT ?answer 
WHERE {
  wd:Q51094 wdt:P106 ?answer
}",1-hop,"Q33999, Q36834, Q49757, Q177220, Q183945, Q488205, Q662729, Q753110, Q1028181, Q13235160, Q16323111, Q29017403"
455,What state does Tibet now belong to?,Q17252,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q17252 wdt:P17 ?answer
}",1-hop,Q148
456,In which socialist country was martial law imposed in December 1981?,Q718605,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q718605 wdt:P17 ?answer
}",1-hop,Q36
459,"Who was Thomas Dylan, whose last name was taken as a pseudonym by the American composer, musician and singer Robert Zimmerman?",Q191023,wdt:P106,"SELECT ?answer 
WHERE {
  wd:Q191023 wdt:P106 ?answer
}",1-hop,"Q28389, Q36180, Q49757, Q214917, Q482980, Q6625963"
460,In what novel does the pirate Ben Gan act abandoned on a desert island?,Q4885761,wdt:P1441,"SELECT ?answer 
WHERE {
  wd:Q4885761 wdt:P1441 ?answer
}",1-hop,"Q185118, Q81200227"
462,Which country is home to Parmesan cheese?,Q155922,wdt:P495,"SELECT ?answer 
WHERE {
  wd:Q155922 wdt:P495 ?answer
}",1-hop,Q38
463,Who was the philosopher S. Kierkegaard by nationality?,Q6512,wdt:P172,"SELECT ?answer 
WHERE {
  wd:Q6512 wdt:P172 ?answer
}",1-hop,Q164714
464,On what ship did V. Tereshkova fly into space?,Q44371,wdt:P450,"SELECT ?answer 
WHERE {
  wd:Q44371 wdt:P450 ?answer
}",1-hop,Q269668
466,What regiment did Lermontov serve in?,Q46599,wdt:P241,"SELECT ?answer 
WHERE {
  wd:Q46599 wdt:P241 ?answer
}",1-hop,Q4257378
469,What was the name of Louis XIV's mother?,Q7742,wdt:P25,"SELECT ?answer 
WHERE {
  wd:Q7742 wdt:P25 ?answer
}",1-hop,Q151209
470,"Who is the author of the novel ""Island of Crimea""?",Q4338818,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q4338818 wdt:P50 ?answer
}",1-hop,Q315185
471,"Who are the heroes of ""the Silmarillion"" created Silmarilli?",Q1234666,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q1234666 wdt:P170 ?answer
}",1-hop,Q716794
472,Which vessel is the basis of the thermos design?,Q23664,wdt:P279,"SELECT ?answer 
WHERE {
  wd:Q23664 wdt:P279 ?answer
}",1-hop,"Q912050, Q2453629"
473,What city was Saadi born in?,Q170302,wdt:P19,"SELECT ?answer 
WHERE {
  wd:Q170302 wdt:P19 ?answer
}",1-hop,Q6397066
474,What science deals with the study of flags?,Q14660,wdt:P2579,"SELECT ?answer 
WHERE {
  wd:Q14660 wdt:P2579 ?answer
}",1-hop,Q186083
477,Where was the residence of the knights of the Round table?,Q381981,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q381981 wdt:P276 ?answer
}",1-hop,Q220437
478,What is new York's nickname?,Q60,wdt:P460,"SELECT ?answer 
WHERE {
  wd:Q60 wdt:P460 ?answer
}",1-hop,Q14435
479,Which city is represented by the Swiss football club grasshopper?,Q201360,wdt:P159,"SELECT ?answer 
WHERE {
  wd:Q201360 wdt:P159 ?answer
}",1-hop,Q72
482,What is the name of the administrative center of the Chinese province of Qinghai?,Q45833,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q45833 wdt:P36 ?answer
}",1-hop,Q69060
485,Who was Niobe's father?,Q213621,wdt:P22,"SELECT ?answer 
WHERE {
  wd:Q213621 wdt:P22 ?answer
}",1-hop,Q182101
486,Where did they develop the Zastava-a modification of the Kalashnikov assault Rifle?,Q15770,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q15770 wdt:P17 ?answer
}",1-hop,Q403
487,Which group of astronomical objects do pulsars belong to?,Q4360,wdt:P279,"SELECT ?answer 
WHERE {
  wd:Q4360 wdt:P279 ?answer
}",1-hop,"Q4202, Q5871"
488,Who was one of the creators of cognitive psychotherapy?,Q13693745,wdt:P178,"SELECT ?answer 
WHERE {
  wd:Q13693745 wdt:P178 ?answer
}",1-hop,Q302849
489,In which sport did Larisa Latynina win 18 Olympic medals?,Q22102,wdt:P641,"SELECT ?answer 
WHERE {
  wd:Q22102 wdt:P641 ?answer
}",1-hop,Q326827
490,What is the location of the Djoser Pyramid built by Imhotep?,Q192418,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q192418 wdt:P131 ?answer
}",1-hop,Q192134
491,Where is Neuschwanstein castle?,Q4152,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q4152 wdt:P17 ?answer
}",1-hop,Q183
495,What is the name of Harry Potter's owl?,Q3244512,wdt:P1429,"SELECT ?answer 
WHERE {
  wd:Q3244512 wdt:P1429 ?answer
}",1-hop,Q845210
497,Which city was home to world chess champion Mikhail tal?,Q102664,wdt:P19,"SELECT ?answer 
WHERE {
  wd:Q102664 wdt:P19 ?answer
}",1-hop,Q1773
498,Where is the city of Eisenach?,Q7070,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q7070 wdt:P131 ?answer
}",1-hop,Q1205
500,Who was the Director of the famous film about the Titanic?,Q44578,wdt:P57,"SELECT ?answer 
WHERE {
  wd:Q44578 wdt:P57 ?answer
}",1-hop,Q42574
501,In which country is the famous Copacabana beach located?,Q202730,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q202730 wdt:P17 ?answer
}",1-hop,Q155
502,"What writer is the author of the fantastic story ""Exchange of minds""?",Q4329382,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q4329382 wdt:P50 ?answer
}",1-hop,Q333246
503,"In which country is the Peace bridge built, designed by an Italian architect and a French lighting designer?",Q27574,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q27574 wdt:P17 ?answer
}",1-hop,Q230
504,In which English County is the city of Coventry located?,Q20986417,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q20986417 wdt:P131 ?answer
}",1-hop,Q23124
505,In which city is the monument to Faina Ranevskaya installed?,Q4343397,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q4343397 wdt:P276 ?answer
}",1-hop,Q170513
506,Which country hosted the 2000 summer Olympics?,Q8544,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q8544 wdt:P17 ?answer
}",1-hop,Q408
507,Which Pope was Cesare Borgia's father?,Q187998,wdt:P22,"SELECT ?answer 
WHERE {
  wd:Q187998 wdt:P22 ?answer
}",1-hop,Q108316
508,Which country has a unique pitcher Valley?,Q870258,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q870258 wdt:P17 ?answer
}",1-hop,Q819
509,"Who is the Director and main character of the movie ""Dancing with wolves""?",Q20456,wdt:P57,"SELECT ?answer 
WHERE {
  wd:Q20456 wdt:P57 ?answer
}",1-hop,Q11930
510,"In which city is the international airport ""Nikola Tesla""?",Q127955,wdt:P931,"SELECT ?answer 
WHERE {
  wd:Q127955 wdt:P931 ?answer
}",1-hop,Q3711
511,"Who is the author of the philosophical treatise ""on the nature of things""?",Q861986,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q861986 wdt:P50 ?answer
}",1-hop,Q47154
512,In which country do tughriks have circulation?,Q183435,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q183435 wdt:P17 ?answer
}",1-hop,Q711
513,What region is the city of Buzuluk located in?,Q42234,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q42234 wdt:P131 ?answer
}",1-hop,Q5338
514,"In what city was Francis Skaryna, the great cultural activist of the Belarusian first printer and enlightener?",Q435320,wdt:P19,"SELECT ?answer 
WHERE {
  wd:Q435320 wdt:P19 ?answer
}",1-hop,Q200797
515,"Who wrote the poem ""Ruslana and Lyudmila""?",Q2353039,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q2353039 wdt:P50 ?answer
}",1-hop,Q7200
516,In which country did the rebellion take place under the leadership of the artisan Wat Tyler?,Q498871,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q498871 wdt:P276 ?answer
}",1-hop,Q21
517,What is included in the Ten commandments ?,Q34623,wdt:P527,"SELECT ?answer 
WHERE {
  wd:Q34623 wdt:P527 ?answer
}",1-hop,"Q51641, Q2907211, Q7311705, Q7796966, Q7796967, Q7796969, Q12403826, Q12403830, Q12404028, Q12408472, Q12408583, Q12408584"
518,Who was Svyatoslav Richter?,Q124890,wdt:P106,"SELECT ?answer 
WHERE {
  wd:Q124890 wdt:P106 ?answer
}",1-hop,"Q36834, Q486748"
520,In which country does the order of Academic palms exist?,Q760940,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q760940 wdt:P17 ?answer
}",1-hop,Q142
522,Who created the Facebook social network ?,Q355,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q355 wdt:P170 ?answer
}",1-hop,Q36215
523,Who was the first editor-in-chief of the first edition of the BSE?,Q234535,wdt:P98,"SELECT ?answer 
WHERE {
  wd:Q234535 wdt:P98 ?answer
}",1-hop,Q167997
524,Which city is the capital of Madagascar?,Q1019,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q1019 wdt:P36 ?answer
}",1-hop,Q3915
525,Which city is the capital of Botswana?,Q963,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q963 wdt:P36 ?answer
}",1-hop,Q3919
528,"Who played one of the roles in the movie ""Aviator""?",Q201924,wdt:P161,"SELECT ?answer 
WHERE {
  wd:Q201924 wdt:P161 ?answer
}",1-hop,"Q38111, Q41148, Q80966, Q160432, Q170572, Q179414, Q188772, Q192402, Q201842, Q223091, Q223110, Q233882, Q236613, Q241025, Q264996, Q310394, Q311453, Q357762, Q437752, Q481954, Q483379, Q536437, Q918404, Q1189169, Q1190406, Q1680304, Q2865151, Q3127916, Q3501718, Q3573721, Q25768136"
529,"Where does the plant grow from which the herbal tea ""Rooibos"" is prepared?",Q272181,wdt:P183,"SELECT ?answer 
WHERE {
  wd:Q272181 wdt:P183 ?answer
}",1-hop,Q258
530,Where is the city of Fulda?,Q3963,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q3963 wdt:P17 ?answer
}",1-hop,Q183
531,"What philosopher in his"" First speech against Catiline ""mentioned the winged expression"" o times, o mores""?",Q1055008,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q1055008 wdt:P50 ?answer
}",1-hop,Q1541
535,What city is Fiumicino international airport located in?,Q19101,wdt:P931,"SELECT ?answer 
WHERE {
  wd:Q19101 wdt:P931 ?answer
}",1-hop,Q220
536,What country does Aer Lingus represent?,Q83716,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q83716 wdt:P17 ?answer
}",1-hop,Q27
537,Which city is the capital of the Republic of the Congo?,Q971,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q971 wdt:P36 ?answer
}",1-hop,Q3844
538,"Which artist is the author of the picture ""Warriors of the Apocalypse""?",Q52253277,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q52253277 wdt:P170 ?answer
}",1-hop,Q204138
539,"Who planted the Apple of contention for Hera, Athena, and Aphrodite?",Q146970,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q146970 wdt:P170 ?answer
}",1-hop,Q140001
540,"Where is the action of the plot of the cult novel by j. Joyce's ""Ulysses""?",Q6511,wdt:P840,"SELECT ?answer 
WHERE {
  wd:Q6511 wdt:P840 ?answer
}",1-hop,"Q1761, Q135501, Q659895, Q1263215, Q1672830, Q1766409, Q2062702, Q2088319, Q2350741, Q5242183, Q5500969, Q7417543, Q13156901, Q28601860"
542,What instrument did the great jazz master dizzy Gillespie play?,Q49575,wdt:P1303,"SELECT ?answer 
WHERE {
  wd:Q49575 wdt:P1303 ?answer
}",1-hop,"Q8338, Q17172850"
544,What is the name of the highest mountain in the Crimean mountains system?,Q748282,wdt:P610,"SELECT ?answer 
WHERE {
  wd:Q748282 wdt:P610 ?answer
}",1-hop,Q2092607
545,"Which actress established her own children's charity Fund ""give life""?",Q4366981,wdt:P112,"SELECT ?answer 
WHERE {
  wd:Q4366981 wdt:P112 ?answer
}",1-hop,"Q236132, Q456257"
546,"What is the language of Charles de Coster wrote ""the Legend of till Eulenspiegel""?",Q3972449,wdt:P407,"SELECT ?answer 
WHERE {
  wd:Q3972449 wdt:P407 ?answer
}",1-hop,Q150
547,"Which rock band owns an album called ""Hair of the Dog""?",Q962722,wdt:P175,"SELECT ?answer 
WHERE {
  wd:Q962722 wdt:P175 ?answer
}",1-hop,Q683695
548,"Who wrote the ""Brief history of time""?",Q471726,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q471726 wdt:P50 ?answer
}",1-hop,Q17714
551,In which city on lake Geneva did V. V. Nabokov spend the last years of his life and was buried?,Q36591,wdt:P20,"SELECT ?answer 
WHERE {
  wd:Q36591 wdt:P20 ?answer
}",1-hop,Q69354
553,On what mountain does the Hindu deity Shiva live?,Q11378,wdt:P551,"SELECT ?answer 
WHERE {
  wd:Q11378 wdt:P551 ?answer
}",1-hop,Q229107
554,The son of a country which was Kobo Abe?,Q186273,wdt:P27,"SELECT ?answer 
WHERE {
  wd:Q186273 wdt:P27 ?answer
}",1-hop,"Q17, Q188712"
555,What chemical element predominates in the composition of coal?,Q732607,wdt:P527,"SELECT ?answer 
WHERE {
  wd:Q732607 wdt:P527 ?answer
}",1-hop,Q623
556,Who awarded Aphrodite the Apple of discord?,Q146970,wdt:P1027,"SELECT ?answer 
WHERE {
  wd:Q146970 wdt:P1027 ?answer
}",1-hop,Q167646
558,What country has a city of Raisins?,Q544003,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q544003 wdt:P17 ?answer
}",1-hop,Q212
559,What else is the biblical Pentateuch of Moses called?,Q162062,wdt:P460,"SELECT ?answer 
WHERE {
  wd:Q162062 wdt:P460 ?answer
}",1-hop,Q34990
560,Which composer wrote the Moonlight Sonata?,Q12008,wdt:P86,"SELECT ?answer 
WHERE {
  wd:Q12008 wdt:P86 ?answer
}",1-hop,Q255
562,"Who wrote the book ""Interstellar wanderer""?",Q626663,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q626663 wdt:P50 ?answer
}",1-hop,Q45765
563,Who is considered the patron Saint of Venice?,Q641,wdt:P417,"SELECT ?answer 
WHERE {
  wd:Q641 wdt:P417 ?answer
}",1-hop,Q31966
564,In what sport did the visually impaired Korean Im don Hyun become a two-time Olympic champion?,Q314086,wdt:P641,"SELECT ?answer 
WHERE {
  wd:Q314086 wdt:P641 ?answer
}",1-hop,Q108429
567,"What was the title of Markus wolf, chief of the Stasi intelligence Department of the GDR MGB?",Q57399,wdt:P410,"SELECT ?answer 
WHERE {
  wd:Q57399 wdt:P410 ?answer
}",1-hop,Q155327
568,What modern city in the Crimea is the site of the ancient Greek city of Panticapaeum?,Q906661,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q906661 wdt:P131 ?answer
}",1-hop,Q157065
569,"Who wrote the ""Fantastic Symphony"" with the dedication: ""to His Majesty Nicholas I, Emperor of all Russia""?",Q462313,wdt:P86,"SELECT ?answer 
WHERE {
  wd:Q462313 wdt:P86 ?answer
}",1-hop,Q1151
570,Who was the winner of the championship of Russia on football 2013 2014?,Q13410151,wdt:P1346,"SELECT ?answer 
WHERE {
  wd:Q13410151 wdt:P1346 ?answer
}",1-hop,Q176371
572,What people first used cuneiform?,Q401,wdt:P61,"SELECT ?answer 
WHERE {
  wd:Q401 wdt:P61 ?answer
}",1-hop,Q656043
574,In what country did the Dutchman Schultz trade?,Q957299,wdt:P27,"SELECT ?answer 
WHERE {
  wd:Q957299 wdt:P27 ?answer
}",1-hop,Q30
575,Where is the Russian Presidential regiment stationed?,Q2748789,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q2748789 wdt:P276 ?answer
}",1-hop,Q133274
576,What scientist discovered the three laws underlying classical mechanics?,Q38433,wdt:P61,"SELECT ?answer 
WHERE {
  wd:Q38433 wdt:P61 ?answer
}",1-hop,Q935
577,"Who was the father of pan, the God of forests, fields, and cattle?",Q132582,wdt:P22,"SELECT ?answer 
WHERE {
  wd:Q132582 wdt:P22 ?answer
}",1-hop,Q41484
579,Where in the human body is the vitreous body?,Q326710,wdt:P361,"SELECT ?answer 
WHERE {
  wd:Q326710 wdt:P361 ?answer
}",1-hop,Q7364
582,Where was Louis Armstrong born?,Q1779,wdt:P19,"SELECT ?answer 
WHERE {
  wd:Q1779 wdt:P19 ?answer
}",1-hop,Q34404
585,In which country was the Habanera dance born?,Q835562,wdt:P495,"SELECT ?answer 
WHERE {
  wd:Q835562 wdt:P495 ?answer
}",1-hop,Q241
586,What musical instrument does woody Allen play professionally?,Q25089,wdt:P1303,"SELECT ?answer 
WHERE {
  wd:Q25089 wdt:P1303 ?answer
}",1-hop,Q8343
587,"Who wrote the ancient Greek tragedy ""Seven against Thebes""?",Q506546,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q506546 wdt:P50 ?answer
}",1-hop,Q40939
588,Which NHL club does Alexander Ovechkin play for?,Q311374,wdt:P54,"SELECT ?answer 
WHERE {
  wd:Q311374 wdt:P54 ?answer
}",1-hop,Q204627
589,In which Russian city in 2012 opened a monument to Yuri Detochkin?,Q16271013,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q16271013 wdt:P131 ?answer
}",1-hop,Q894
590,What sport did Bob Beamon Excel in?,Q52604,wdt:P2416,"SELECT ?answer 
WHERE {
  wd:Q52604 wdt:P2416 ?answer
}",1-hop,Q170737
591,What country is the Suez canal located in?,Q899,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q899 wdt:P17 ?answer
}",1-hop,Q79
593,"Who directed the movie ""the House I live in""?",Q4165167,wdt:P57,"SELECT ?answer 
WHERE {
  wd:Q4165167 wdt:P57 ?answer
}",1-hop,"Q1554208, Q1969437"
594,What country is the Piedmont region located in?,Q1216,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q1216 wdt:P17 ?answer
}",1-hop,Q38
595,"Who got the ill-fated ""Apple of discord""?",Q146970,wdt:P127,"SELECT ?answer 
WHERE {
  wd:Q146970 wdt:P127 ?answer
}",1-hop,Q35500
596,What kind of fastener needs to be nut?,Q190977,wdt:P2789,"SELECT ?answer 
WHERE {
  wd:Q190977 wdt:P2789 ?answer
}",1-hop,Q1147806
597,What river does the Palace bridge cross in Saint Petersburg?,Q148970,wdt:P177,"SELECT ?answer 
WHERE {
  wd:Q148970 wdt:P177 ?answer
}",1-hop,Q645
598,What is the official language in Sri Lanka?,Q854,wdt:P37,"SELECT ?answer 
WHERE {
  wd:Q854 wdt:P37 ?answer
}",1-hop,"Q5885, Q13267"
599,In what city was Jesus Christ born?,Q302,wdt:P19,"SELECT ?answer 
WHERE {
  wd:Q302 wdt:P19 ?answer
}",1-hop,Q5776
600,In which Latin American country did the Sandinista revolution win in 1979?,Q1463516,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q1463516 wdt:P276 ?answer
}",1-hop,Q811
601,What country is Karachi located in?,Q8660,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q8660 wdt:P17 ?answer
}",1-hop,Q843
602,In what constellation is the star Arcturus located?,Q12985,wdt:P59,"SELECT ?answer 
WHERE {
  wd:Q12985 wdt:P59 ?answer
}",1-hop,Q8667
603,"Who is the author of the poem ""the song of Hiawatha""?",Q279486,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q279486 wdt:P50 ?answer
}",1-hop,Q152513
604,In what Irish castle can you kiss the Stone of Eloquence to gain the gift of persuasion and flattery?,Q2369564,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q2369564 wdt:P276 ?answer
}",1-hop,Q2133873
605,"Who directed the films "" Brother ""and"" Brother 2""?",Q1192679,wdt:P57,"SELECT ?answer 
WHERE {
  wd:Q1192679 wdt:P57 ?answer
}",1-hop,Q557323
607,Where is Jellyfish Lake?,Q263422,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q263422 wdt:P17 ?answer
}",1-hop,Q695
608,"Who wrote ""the History of the village goryukhino""?",Q4205024,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q4205024 wdt:P50 ?answer
}",1-hop,Q7200
612,What musical instrument does Carlos Santana play?,Q819016,wdt:P1303,"SELECT ?answer 
WHERE {
  wd:Q819016 wdt:P1303 ?answer
}",1-hop,"Q6607, Q17172850"
613,Which city hosted the world aquatics Championships in 2011?,Q330343,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q330343 wdt:P131 ?answer
}",1-hop,Q8686
614,Where are Beretta pistols manufactured?,Q324782,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q324782 wdt:P17 ?answer
}",1-hop,Q38
615,In what state of the United States is the Great Salt lake located?,Q178741,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q178741 wdt:P131 ?answer
}",1-hop,Q829
617,"Who directed the 1976 TV series ""Two captains"" based on the famous novel by V. Kaverin?",Q4155587,wdt:P57,"SELECT ?answer 
WHERE {
  wd:Q4155587 wdt:P57 ?answer
}",1-hop,Q4214909
618,Who established the order of the Golden fleece in 1430?,Q465774,wdt:P112,"SELECT ?answer 
WHERE {
  wd:Q465774 wdt:P112 ?answer
}",1-hop,Q239337
619,who sings the ROAR song,Q14559271,wdt:P175,"SELECT ?answer 
WHERE {
  wd:Q14559271 wdt:P175 ?answer
}",1-hop,Q42493
620,Which country hosted the 2002 winter Olympics?,Q9668,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q9668 wdt:P17 ?answer
}",1-hop,Q30
621,What science studies the history of The earth's development?,Q2,wdt:P2579,"SELECT ?answer 
WHERE {
  wd:Q2 wdt:P2579 ?answer
}",1-hop,"Q1069, Q8008, Q46255"
622,Which country was ruled by Muammar Gaddafi for more than 40 years?,Q19878,wdt:P27,"SELECT ?answer 
WHERE {
  wd:Q19878 wdt:P27 ?answer
}",1-hop,Q1016
624,"Where in the human body is the ""gatekeeper""?",Q290248,wdt:P361,"SELECT ?answer 
WHERE {
  wd:Q290248 wdt:P361 ?answer
}",1-hop,Q1029907
627,Who is the Creator of the game Tetris?,Q71910,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q71910 wdt:P170 ?answer
}",1-hop,Q92600
628,Who was the fabulous Urfin jus by profession?,Q4477437,wdt:P106,"SELECT ?answer 
WHERE {
  wd:Q4477437 wdt:P106 ?answer
}",1-hop,Q326358
631,What Crimean city was built on the site of Scythian Naples that existed in the III-II centuries BC?,Q2621094,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q2621094 wdt:P131 ?answer
}",1-hop,Q19566
632,What is the currency of Saint Helena?,Q192184,wdt:P38,"SELECT ?answer 
WHERE {
  wd:Q192184 wdt:P38 ?answer
}",1-hop,"Q25224, Q374453"
633,Which socialist country was led by Janos Kadar,Q200850,wdt:P27,"SELECT ?answer 
WHERE {
  wd:Q200850 wdt:P27 ?answer
}",1-hop,Q28
634,Which city was the capital of the Kingdom of Both Sicilies that existed in the XIX century?,Q180393,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q180393 wdt:P36 ?answer
}",1-hop,Q2634
635,Which city was the capital of Charlemagne,Q146246,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q146246 wdt:P36 ?answer
}",1-hop,"Q90, Q1017, Q173219"
636,In which country is the temple of the emerald Buddha located,Q1502138,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q1502138 wdt:P17 ?answer
}",1-hop,Q869
637,Which country is hosting the 2018 Winter Olympics?,Q9680,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q9680 wdt:P17 ?answer
}",1-hop,Q884
638,What was the name of Umberto Nobile's airship to the North pole,Q291200,wdt:P5096,"SELECT ?answer 
WHERE {
  wd:Q291200 wdt:P5096 ?answer
}",1-hop,Q1472152
639,In what sport did Marat Safin succeed?,Q133318,wdt:P641,"SELECT ?answer 
WHERE {
  wd:Q133318 wdt:P641 ?answer
}",1-hop,Q847
641,Who is the Director of the film the Lady with the dog,Q339708,wdt:P57,"SELECT ?answer 
WHERE {
  wd:Q339708 wdt:P57 ?answer
}",1-hop,Q741710
644,In what city was the Soviet writer Valentin Pikul born?,Q2364621,wdt:P19,"SELECT ?answer 
WHERE {
  wd:Q2364621 wdt:P19 ?answer
}",1-hop,Q656
646,Who first suggested the idea of absolute zero temperatures,Q81182,wdt:P61,"SELECT ?answer 
WHERE {
  wd:Q81182 wdt:P61 ?answer
}",1-hop,Q368121
647,Which company developed the VHS standard,Q183976,wdt:P127,"SELECT ?answer 
WHERE {
  wd:Q183976 wdt:P127 ?answer
}",1-hop,Q215901
648,In which city is the Sanssouci Palace located?,Q151330,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q151330 wdt:P131 ?answer
}",1-hop,Q1711
649,In which Dutch city is the House of Peter I located?,Q17594749,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q17594749 wdt:P276 ?answer
}",1-hop,Q211260
650,Where is OPEC located),Q7795,wdt:P159,"SELECT ?answer 
WHERE {
  wd:Q7795 wdt:P159 ?answer
}",1-hop,Q1741
651,Where you use the water stone?,Q507559,wdt:P366,"SELECT ?answer 
WHERE {
  wd:Q507559 wdt:P366 ?answer
}",1-hop,Q237105
652,"Who is the author of the song ""I Just Called To Say I Love You""?",Q1655199,wdt:P676,"SELECT ?answer 
WHERE {
  wd:Q1655199 wdt:P676 ?answer
}",1-hop,Q714
653,In what area is the city of Ismail located?,Q147739,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q147739 wdt:P131 ?answer
}",1-hop,Q171852
654,Which city is home to one of the oldest Ambrosian libraries in Europe?,Q1071570,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q1071570 wdt:P131 ?answer
}",1-hop,Q490
655,What Monet painting gave the name to a new direction in painting - impressionism?,Q40415,wdt:P138,"SELECT ?answer 
WHERE {
  wd:Q40415 wdt:P138 ?answer
}",1-hop,Q328523
659,Which British king is the Orange order dedicated to?,Q1345321,wdt:P138,"SELECT ?answer 
WHERE {
  wd:Q1345321 wdt:P138 ?answer
}",1-hop,Q129987
660,"Who took part in the voice-over of the cartoon ""plasticine crow""?",Q1212415,wdt:P725,"SELECT ?answer 
WHERE {
  wd:Q1212415 wdt:P725 ?answer
}",1-hop,Q1962550
661,"Which city is the administrative center of the state of California, located in the United States?",Q99,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q99 wdt:P36 ?answer
}",1-hop,Q18013
662,Which city is the capital of Cameroon?,Q1009,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q1009 wdt:P36 ?answer
}",1-hop,Q3808
663,Where does the famous fashion designer Carolina Herrera come from?,Q264589,wdt:P19,"SELECT ?answer 
WHERE {
  wd:Q264589 wdt:P19 ?answer
}",1-hop,Q1533
664,Who invented set theory?,Q12482,wdt:P61,"SELECT ?answer 
WHERE {
  wd:Q12482 wdt:P61 ?answer
}",1-hop,Q76420
665,What dynasty did Richard the Lionheart belong to?,Q42305,wdt:P53,"SELECT ?answer 
WHERE {
  wd:Q42305 wdt:P53 ?answer
}",1-hop,Q106151
